timestamp,action
2025-05-31 14:00:00,sell
2025-05-31 15:00:00,sell
2025-05-31 16:00:00,sell
2025-05-31 17:00:00,sell
2025-05-31 18:00:00,sell
2025-05-31 19:00:00,sell
2025-05-31 20:00:00,sell
2025-05-31 21:00:00,sell
2025-06-04 20:00:00,sell
2025-06-04 21:00:00,sell
2025-06-04 22:00:00,sell
2025-06-04 23:00:00,sell
2025-06-05 00:00:00,sell
2025-06-05 01:00:00,sell
2025-06-05 02:00:00,sell
2025-06-05 03:00:00,sell
2025-06-05 04:00:00,sell
2025-06-05 05:00:00,sell
2025-06-05 06:00:00,sell
2025-06-05 07:00:00,sell
2025-06-05 08:00:00,sell
2025-06-05 09:00:00,sell
2025-06-05 10:00:00,sell
2025-06-05 11:00:00,sell
2025-06-05 12:00:00,sell
2025-06-05 13:00:00,sell
2025-06-05 14:00:00,sell
2025-06-05 15:00:00,sell
2025-06-05 16:00:00,sell
2025-06-05 17:00:00,sell
2025-06-05 18:00:00,sell
2025-06-05 23:00:00,buy
2025-06-06 01:00:00,buy
2025-06-06 02:00:00,buy
2025-06-06 03:00:00,buy
2025-06-06 05:00:00,buy
2025-06-06 06:00:00,buy
2025-06-06 11:00:00,buy
2025-06-06 12:00:00,buy
2025-06-06 13:00:00,buy
2025-06-06 14:00:00,buy
2025-06-06 15:00:00,buy
2025-06-06 18:00:00,buy
2025-06-06 20:00:00,buy
2025-06-06 21:00:00,buy
2025-06-07 02:00:00,buy
2025-06-07 03:00:00,buy
2025-06-07 05:00:00,buy
2025-06-07 19:00:00,buy
2025-06-08 05:00:00,buy
2025-06-08 22:00:00,buy
2025-06-09 01:00:00,buy
2025-06-09 02:00:00,buy
2025-06-09 13:00:00,buy
2025-06-09 14:00:00,buy
2025-06-09 15:00:00,buy
2025-06-09 18:00:00,buy
2025-06-09 19:00:00,buy
2025-06-09 22:00:00,buy
2025-06-10 01:00:00,buy
2025-06-10 07:00:00,buy
2025-06-10 08:00:00,buy
2025-06-10 10:00:00,buy
2025-06-10 11:00:00,buy
2025-06-10 12:00:00,buy
2025-06-10 13:00:00,buy
2025-06-10 14:00:00,buy
2025-06-10 16:00:00,buy
2025-06-10 17:00:00,buy
2025-06-11 00:00:00,sell
2025-06-11 04:00:00,sell
2025-06-11 06:00:00,sell
2025-06-11 07:00:00,sell
2025-06-11 08:00:00,sell
2025-06-11 09:00:00,sell
2025-06-11 10:00:00,sell
2025-06-11 11:00:00,sell
2025-06-11 12:00:00,sell
2025-06-11 13:00:00,sell
2025-06-11 14:00:00,sell
2025-06-11 15:00:00,sell
2025-06-11 16:00:00,sell
2025-06-11 17:00:00,sell
2025-06-11 18:00:00,sell
2025-06-11 19:00:00,buy
2025-06-12 00:00:00,sell
2025-06-12 01:00:00,sell
2025-06-12 02:00:00,sell
2025-06-12 03:00:00,sell
2025-06-12 04:00:00,sell
2025-06-12 05:00:00,sell
2025-06-12 06:00:00,sell
2025-06-12 07:00:00,sell
